series_type,date,ron95,ron97,diesel,diesel_eastmsia,ron95_budi95,ron95_skps
level,4/1/2024,2.05,3.47,2.15,2.15,,
level,11/1/2024,2.05,3.47,2.15,2.15,,
level,18/1/2024,2.05,3.47,2.15,2.15,,
level,25/1/2024,2.05,3.47,2.15,2.15,,
level,1/2/2024,2.05,3.47,2.15,2.15,,
level,8/2/2024,2.05,3.47,2.15,2.15,,
level,15/2/2024,2.05,3.47,2.15,2.15,,
level,22/2/2024,2.05,3.47,2.15,2.15,,
level,29/2/2024,2.05,3.47,2.15,2.15,,
level,7/3/2024,2.05,3.47,2.15,2.15,,
level,14/3/2024,2.05,3.47,2.15,2.15,,
level,21/3/2024,2.05,3.47,2.15,2.15,,
level,28/3/2024,2.05,3.47,2.15,2.15,,
level,4/4/2024,2.05,3.47,2.15,2.15,,
level,11/4/2024,2.05,3.47,2.15,2.15,,
level,18/4/2024,2.05,3.47,2.15,2.15,,
level,25/4/2024,2.05,3.47,2.15,2.15,,
level,2/5/2024,2.05,3.47,2.15,2.15,,
level,9/5/2024,2.05,3.47,2.15,2.15,,
level,16/5/2024,2.05,3.47,2.15,2.15,,
level,23/5/2024,2.05,3.47,2.15,2.15,,
level,30/5/2024,2.05,3.47,2.15,2.15,,
level,6/6/2024,2.05,3.47,2.15,2.15,,
level,10/6/2024,2.05,3.47,3.35,2.15,,
level,13/6/2024,2.05,3.47,3.35,2.15,,
level,20/6/2024,2.05,3.47,3.35,2.15,,
level,27/6/2024,2.05,3.47,3.35,2.15,,
level,4/7/2024,2.05,3.47,3.35,2.15,,
level,11/7/2024,2.05,3.47,3.35,2.15,,
level,18/7/2024,2.05,3.47,3.35,2.15,,
level,25/7/2024,2.05,3.47,3.35,2.15,,
level,1/8/2024,2.05,3.47,3.35,2.15,,
level,8/8/2024,2.05,3.47,3.3,2.15,,
level,15/8/2024,2.05,3.47,3.25,2.15,,
level,22/8/2024,2.05,3.47,3.23,2.15,,
level,29/8/2024,2.05,3.42,3.18,2.15,,
level,5/9/2024,2.05,3.4,3.16,2.15,,
level,12/9/2024,2.05,3.25,3.01,2.15,,
level,19/9/2024,2.05,3.19,2.95,2.15,,
level,26/9/2024,2.05,3.19,2.95,2.15,,
level,3/10/2024,2.05,3.19,2.95,2.15,,
level,10/10/2024,2.05,3.19,2.95,2.15,,
level,17/10/2024,2.05,3.19,2.95,2.15,,
level,24/10/2024,2.05,3.19,2.95,2.15,,
level,31/10/2024,2.05,3.19,2.95,2.15,,
level,7/11/2024,2.05,3.19,2.95,2.15,,
level,14/11/2024,2.05,3.19,2.95,2.15,,
level,21/11/2024,2.05,3.19,2.95,2.15,,
level,28/11/2024,2.05,3.19,2.95,2.15,,
level,5/12/2024,2.05,3.19,2.95,2.15,,
level,12/12/2024,2.05,3.19,2.95,2.15,,
level,19/12/2024,2.05,3.22,2.95,2.15,,
level,26/12/2024,2.05,3.25,2.95,2.15,,
